...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
763,MAX_20220729_Mdr_GFP_lac_GD_L4_S5L_C3.tif,62.306,255,255,255,15888.05,3760485
764,MAX_20220729_Mdr_GFP_lac_GD_L4_S5L_C3.tif,2.818,255,255,255,718.609,170085
765,MAX_20220729_Mdr_GFP_lac_GD_L4_S5L_C3.tif,172.507,252.702,0,255,43592.749,10317810
766,MAX_20220729_Mdr_GFP_lac_GD_L4_S5L_C3.tif,2.1,255,255,255,535.455,126735
767,MAX_20220729_Mdr_GFP_lac_GD_L4_S5R_C1.tif,332.922,254.757,0,255,84814.196,20074365
768,MAX_20220729_Mdr_GFP_lac_GD_L4_S5R_C1.tif,2.831,255,255,255,721.841,170850
769,MAX_20220729_Mdr_GFP_lac_GD_L4_S5R_C3.tif,69.97,254.569,0,255,17812.242,4215915
770,MAX_20220729_Mdr_GFP_lac_GD_L4_S5R_C3.tif,657.689,251.527,0,255,165426.63,39154230
771,MAX_20220729_Mdr_GFP_lac_GD_L4_S5R_C3.tif,2.298,251.719,0,255,578.55,136935
772,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C1.tif,252.355,250.073,0,255,63107.244,14936625
773,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C1.tif,3.676,255,255,255,937.316,221850
774,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C3.tif,2.531,255,255,255,645.348,152745
775,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C3.tif,421.79,249.595,0,255,105276.781,24917580
776,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C3.tif,3.705,255,255,255,944.858,223635
777,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C3.tif,42.322,252.378,0,255,10681.096,2528070
778,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C3.tif,43.416,251.774,0,255,10931.047,2587230
779,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C3.tif,11.868,254.365,0,255,3018.805,714510
780,MAX_20220729_Mdr_GFP_lac_GD_L5_S3L_C3.tif,4.635,253.605,0,255,1175.416,278205
781,MAX_20220729_Mdr_GFP_lac_GD_L5_S3R_C1.tif,136.675,250.223,0,255,34199.116,8094465
782,MAX_20220729_Mdr_GFP_lac_GD_L5_S3R_C1.tif,4.956,255,255,255,1263.761,299115
