...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
334,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C1.tif,5.995,253.922,0,255,1522.331,360315
335,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C1.tif,143.608,254.31,0,255,36520.86,8643990
336,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C1.tif,7.867,253.083,0,255,1990.989,471240
337,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C1.tif,3.714,253.549,0,255,941.626,222870
338,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,4.812,255,255,255,1227.13,290445
339,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,3.308,255,255,255,843.585,199665
340,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,2.007,255,255,255,511.753,121125
341,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,3.443,255,255,255,878.061,207825
342,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,8.522,255,255,255,2173.065,514335
343,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,4.618,255,255,255,1177.571,278715
344,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,3.439,255,255,255,876.983,207570
345,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,557.514,250.832,0,255,139842.205,33098745
346,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,4.457,255,255,255,1136.631,269025
347,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,4.267,255,255,255,1088.149,257550
348,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,210.337,250.697,0,255,52731.045,12480720
349,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C3.tif,2.062,254.477,0,255,524.682,124185
350,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3L_C1.tif,181.155,245.419,0,255,44458.959,10522830
351,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3L_C3.tif,533.567,251.369,0,255,134122.42,31744950
352,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3R_C1.tif,66.683,252.447,0,255,16833.985,3984375
353,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3R_C3.tif,27.893,254.923,0,255,7110.675,1683000
354,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3R_C3.tif,5.057,255,255,255,1289.618,305235
355,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3R_C3.tif,2.205,255,255,255,562.39,133110
356,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3R_C3.tif,388.979,244.746,0,255,95201.169,22532820
357,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S3R_C3.tif,4.014,255,255,255,1023.506,242250
358,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S4L_C1.tif,3.393,254.365,0,255,862.977,204255
359,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S4L_C1.tif,172.122,247.783,0,255,42648.969,10094430
360,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S4L_C3.tif,4.631,255,255,255,1180.803,279480
361,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S4L_C3.tif,6.207,255,255,255,1582.664,374595
362,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S4L_C3.tif,503.32,253.544,0,255,127613.998,30204495
363,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S4L_C3.tif,7.575,255,255,255,1931.733,457215
364,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S4L_C3.tif,74.504,254.957,0,255,18995.2,4495905
365,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2L_C1.tif,143.726,252.924,0,255,36351.712,8603955
366,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2L_C3.tif,541.163,252.685,0,255,136743.674,32365365
367,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2L_C3.tif,3.325,255,255,255,847.894,200685
368,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2L_C3.tif,5.269,255,255,255,1343.487,317985
369,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2R_C1.tif,161.437,253.785,0,255,40970.419,9697140
370,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2R_C3.tif,2.328,255,255,255,593.634,140505
371,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2R_C3.tif,530.043,238.436,0,255,126381.481,29912775
372,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2R_C3.tif,7.88,253.769,0,255,1999.608,473280
373,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2R_C3.tif,3.895,255,255,255,993.34,235110
374,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S2R_C3.tif,2.053,254.475,0,255,522.527,123675
375,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S3L_C1.tif,44.878,255,255,255,11443.878,2708610
376,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S3L_C1.tif,95.726,245.951,0,255,23543.877,5572515
377,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S3L_C3.tif,157.762,254.522,0,255,40153.768,9503850
378,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S3L_C3.tif,230.668,254.351,0,255,58670.613,13886535
379,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S3R_C1.tif,72.742,254.778,0,255,18533.006,4386510
380,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S3R_C3.tif,321.058,251.322,0,255,80688.927,19097970
381,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S4L_C3.tif,52.031,254.586,0,255,13246.326,3135225
382,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S4L_C3.tif,54.862,255,255,255,13989.715,3311175
383,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S4R_C1.tif,15.683,255,255,255,3999.216,946560
384,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S4R_C1.tif,17.487,254.754,0,255,4454.946,1054425
385,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S4R_C1.tif,2.489,255,255,255,634.574,150195
386,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S4R_C3.tif,94.97,254.535,0,255,24173.064,5721435
387,MAX_20221220_46F_Gal4_cd8_GFP_KK_L1_S4R_C3.tif,131.866,254.722,0,255,33589.322,7950135
388,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S2L_C1.tif,315.308,253.131,0,255,79814.099,18890910
389,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S2L_C3.tif,773.061,252.122,0,255,194905.766,46131540
390,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S3L_C1.tif,99.71,254.751,0,255,25401.272,6012135
391,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S3L_C3.tif,456.317,253.593,0,255,115718.7,27389040
392,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S3R_C1.tif,10.246,255,255,255,2612.635,618375
393,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S3R_C1.tif,206.379,254.828,0,255,52590.986,12447570
394,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S3R_C3.tif,11.902,255,255,255,3034.966,718335
395,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S3R_C3.tif,571.524,253.756,0,255,145027.611,34326060
396,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4L_C1.tif,62.767,247.859,0,255,15557.296,3682200
397,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4L_C3.tif,328.236,254.632,0,255,83579.525,19782135
398,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4L_C3.tif,6.806,254.842,0,255,1734.574,410550
399,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4R_C1.tif,31.502,254.932,0,255,8030.754,1900770
400,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4R_C1.tif,53.446,255,255,255,13628.794,3225750
401,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4R_C3.tif,187.07,253.117,0,255,47350.634,11207250
402,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4R_C3.tif,2.07,255,255,255,527.914,124950
403,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4R_C3.tif,2.531,255,255,255,645.348,152745
404,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4R_C3.tif,4.622,255,255,255,1178.648,278970
405,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S4R_C3.tif,249.981,253.931,0,255,63477.861,15024345
