 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
98,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,5.666,255.000,255,255,1444.760,341955
99,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,4.990,255.000,255,255,1272.380,301155
100,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,2.374,248.648,0,255,590.402,139740
101,20221026_Nrv2_GFP_GD_L1_S3R_C1.tif,8.915,253.912,0,255,2263.565,535755
102,20221026_Nrv2_GFP_GD_L1_S3R_C1.tif,8.082,255.000,255,255,2061.018,487815
103,20221026_Nrv2_GFP_GD_L1_S3R_C3.tif,502.027,210.521,0,255,105687.261,25014735
104,20221026_Nrv2_GFP_GD_L1_S3R_C3.tif,2.759,255.000,255,255,703.526,166515
105,20221026_Nrv2_GFP_GD_L1_S3R_C3.tif,3.866,255.000,255,255,985.798,233325
106,20221026_Nrv2_GFP_GD_L1_S4L_C1.tif,16.807,255.000,255,255,4285.798,1014390
107,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,58.318,254.778,0,255,14858.079,3516705
108,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,2.480,255.000,255,255,632.419,149685
109,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,3.638,255.000,255,255,927.620,219555
110,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,18.805,251.448,0,255,4728.599,1119195
111,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,10.229,255.000,255,255,2608.325,617355
112,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,8.775,255.000,255,255,2237.708,529635
113,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,46.652,254.446,0,255,11870.518,2809590
114,20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,4.909,255.000,255,255,1251.910,296310
115,20221026_Nrv2_GFP_GD_L1_S5L_C1.tif,1385.547,254.997,0,255,353310.066,83623680
116,20221026_Nrv2_GFP_GD_L1_S5L_C3.tif,3.481,255.000,255,255,887.757,210120
117,20221026_Nrv2_GFP_GD_L1_S5L_C3.tif,111.739,247.499,0,255,27655.140,6545595
118,20221026_Nrv2_GFP_GD_L1_S5L_C3.tif,32.224,245.137,0,255,7899.314,1869660
119,20221026_Nrv2_GFP_GD_L1_S5L_C3.tif,20.926,254.794,0,255,5331.929,1261995
120,20221026_Nrv2_GFP_GD_L1_S5L_C3.tif,4.466,255.000,255,255,1138.785,269535
121,20221026_Nrv2_GFP_GD_L2_S2L_C1.tif,2.176,255.000,255,255,554.848,131325
122,20221026_Nrv2_GFP_GD_L2_S2L_C1.tif,7.554,255.000,255,255,1926.347,455940
123,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,8.235,255.000,255,255,2099.804,496995
124,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,8.834,255.000,255,255,2252.791,533205
125,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,6.937,250.962,0,255,1741.038,412080
126,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,255.025,248.836,0,255,63459.545,15020010
127,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,2.417,255.000,255,255,616.259,145860
128,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,2.041,255.000,255,255,520.372,123165
129,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,2.945,255.000,255,255,750.930,177735
130,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,4.102,255.000,255,255,1046.131,247605
131,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,22.714,248.122,0,255,5635.749,1333905
132,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,2.505,255.000,255,255,638.883,151215
133,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,2.015,254.465,0,255,512.831,121380
134,20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,3.076,255.000,255,255,784.329,185640
135,20221026_Nrv2_GFP_GD_L2_S3L_C1.tif,5.687,255.000,255,255,1450.147,343230
136,20221026_Nrv2_GFP_GD_L2_S3L_C1.tif,18.746,255.000,255,255,4780.313,1131435
137,20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,2.755,255.000,255,255,702.449,166260
138,20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,182.355,250.528,0,255,45685.012,10813020
139,20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,8.475,255.000,255,255,2161.214,511530
140,20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,2.438,255.000,255,255,621.645,147135
141,20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,46.690,255.000,255,255,11906.072,2818005
142,20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,12.616,249.278,0,255,3144.858,744345
143,20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,32.816,246.891,0,255,8101.860,1917600
144,20221026_Nrv2_GFP_GD_L2_S5L_C1.tif,8.264,251.350,0,255,2077.179,491640
145,20221026_Nrv2_GFP_GD_L2_S5L_C3.tif,221.086,252.534,0,255,55831.730,13214610
146,20221026_Nrv2_GFP_GD_L2_S5L_C3.tif,4.191,255.000,255,255,1068.756,252960
147,20221026_Nrv2_GFP_GD_L2_S5L_C3.tif,54.211,254.543,0,255,13799.020,3266040
148,20221026_Nrv2_GFP_GD_L2_S5R_C1.tif,1790.095,254.993,0,255,456462.263,108038400
149,20221026_Nrv2_GFP_GD_L2_S5R_C3.tif,161.568,254.987,0,255,41197.745,9750945
150,20221026_Nrv2_GFP_GD_L2_S5R_C3.tif,2.353,255.000,255,255,600.098,142035
151,20221026_Nrv2_GFP_GD_L2_S5R_C3.tif,4.221,255.000,255,255,1076.298,254745
152,20221026_Nrv2_GFP_GD_L2_S5R_C3.tif,8.015,255.000,255,255,2043.780,483735
153,20221026_Nrv2_GFP_GD_L3_S2L_C1.tif,12.806,255.000,255,255,3265.524,772905
154,20221026_Nrv2_GFP_GD_L3_S2L_C3.tif,188.617,238.007,0,255,44892.064,10625340
155,20221026_Nrv2_GFP_GD_L3_S2L_C3.tif,123.205,253.548,0,255,31238.490,7393725
156,20221026_Nrv2_GFP_GD_L3_S2L_C3.tif,4.001,255.000,255,255,1020.274,241485
157,20221026_Nrv2_GFP_GD_L3_S3R_C1.tif,3.215,255.000,255,255,819.882,194055
158,20221026_Nrv2_GFP_GD_L3_S3R_C1.tif,9.016,254.881,0,255,2298.041,543915
159,20221026_Nrv2_GFP_GD_L3_S3R_C3.tif,8.813,255.000,255,255,2247.404,531930
160,20221026_Nrv2_GFP_GD_L3_S3R_C3.tif,3.587,255.000,255,255,914.691,216495
161,20221026_Nrv2_GFP_GD_L3_S3R_C3.tif,237.665,250.907,0,255,59631.632,14113995
162,20221026_Nrv2_GFP_GD_L3_S5L_C1.tif,2.214,254.027,0,255,562.390,133110
163,20221026_Nrv2_GFP_GD_L3_S5L_C3.tif,159.908,251.914,0,255,40283.053,9534450
164,20221026_Nrv2_GFP_GD_L3_S5L_C3.tif,2.189,255.000,255,255,558.080,132090
165,20221026_Nrv2_GFP_GD_L3_S5L_C3.tif,19.084,255.000,255,255,4866.503,1151835
166,20221026_Nrv2_GFP_GD_L3_S5L_C3.tif,13.347,255.000,255,255,3403.428,805545
167,20221026_Nrv2_GFP_GD_L3_S5R_C1.tif,1611.567,254.989,0,255,410931.316,97261845
168,20221026_Nrv2_GFP_GD_L3_S5R_C3.tif,163.009,239.402,0,255,39024.679,9236610
169,20221026_Nrv2_GFP_GD_L3_S5R_C3.tif,57.414,254.737,0,255,14625.366,3461625
170,20221026_Nrv2_GFP_GD_L3_S5R_C3.tif,10.634,247.098,0,255,2627.718,621945
171,20221026_Nrv2_GFP_GD_L3_S5R_C3.tif,7.871,255.000,255,255,2007.150,475065
172,20221026_Nrv2_GFP_GD_L4_S2R_C1.tif,3.055,255.000,255,255,778.942,184365
173,20221026_Nrv2_GFP_GD_L4_S2R_C1.tif,2.108,255.000,255,255,537.610,127245
174,20221026_Nrv2_GFP_GD_L4_S2R_C3.tif,18.873,252.260,0,255,4760.920,1126845
175,20221026_Nrv2_GFP_GD_L4_S2R_C3.tif,284.710,244.189,0,255,69523.012,16455150
176,20221026_Nrv2_GFP_GD_L4_S2R_C3.tif,22.498,254.617,0,255,5728.403,1355835
177,20221026_Nrv2_GFP_GD_L4_S2R_C3.tif,3.967,255.000,255,255,1011.655,239445
178,20221026_Nrv2_GFP_GD_L4_S3R_C1.tif,17.775,255.000,255,255,4532.517,1072785
179,20221026_Nrv2_GFP_GD_L4_S3R_C3.tif,236.499,252.463,0,255,59707.048,14131845
180,20221026_Nrv2_GFP_GD_L4_S3R_C3.tif,33.652,255.000,255,255,8581.292,2031075
181,20221026_Nrv2_GFP_GD_L4_S3R_C3.tif,79.134,231.284,0,255,18302.447,4331940
182,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,5.780,255.000,255,255,1473.849,348840
183,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,9.413,254.542,0,255,2396.082,567120
184,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,50.573,255.000,255,255,12896.179,3052350
185,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,60.739,254.911,0,255,15482.957,3664605
186,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,29.516,243.100,0,255,7175.318,1698300
187,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,13.566,255.000,255,255,3459.451,818805
188,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,16.000,253.317,0,255,4053.085,959310
189,20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,16.161,254.733,0,255,4116.650,974355
190,20221026_Nrv2_GFP_GD_L5_S2L_C1.tif,1331.729,254.934,0,255,339502.427,80355600
191,20221026_Nrv2_GFP_GD_L5_S2L_C3.tif,333.800,216.592,0,255,72298.330,17112030
192,20221026_Nrv2_GFP_GD_L5_S2L_C3.tif,37.188,254.276,0,255,9456.121,2238135
193,20221026_Nrv2_GFP_GD_L5_S2R_C1.tif,1361.887,254.934,0,255,347191.653,82175535
194,20221026_Nrv2_GFP_GD_L5_S2R_C3.tif,194.680,251.569,0,255,48975.315,11591790
195,20221026_Nrv2_GFP_GD_L5_S2R_C3.tif,5.501,255.000,255,255,1402.742,332010
196,20221026_Nrv2_GFP_GD_L5_S3R_C1.tif,4.086,255.000,255,255,1041.822,246585
197,20221026_Nrv2_GFP_GD_L5_S3R_C3.tif,321.201,245.397,0,255,78821.836,18656055
198,20221026_Nrv2_GFP_GD_L5_S4L_C1.tif,8.581,253.619,0,255,2176.298,515100
199,20221026_Nrv2_GFP_GD_L5_S4L_C1.tif,4.791,255.000,255,255,1221.743,289170
200,20221026_Nrv2_GFP_GD_L5_S4L_C1.tif,2.805,252.696,0,255,708.913,167790
201,20221026_Nrv2_GFP_GD_L5_S4L_C3.tif,3.012,255.000,255,255,768.168,181815
202,20221026_Nrv2_GFP_GD_L5_S4L_C3.tif,5.302,255.000,255,255,1352.106,320025
203,20221026_Nrv2_GFP_GD_L5_S4L_C3.tif,311.568,254.357,0,255,79249.554,18757290
204,20221026_Nrv2_GFP_GD_L6_S2R_C1.tif,12.202,254.912,0,255,3110.382,736185
205,20221026_Nrv2_GFP_GD_L6_S2R_C1.tif,8.192,255.000,255,255,2089.030,494445
206,20221026_Nrv2_GFP_GD_L6_S2R_C3.tif,136.632,247.028,0,255,33752.006,7988640
207,20221026_Nrv2_GFP_GD_L6_S2R_C3.tif,18.370,255.000,255,255,4684.427,1108740
